Category,Artist,Song,AlbumArtURL
Pop / R&B,BTS,Fake Love,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/ff/00/2c/ff002c29-6da9-1a26-16b3-282a73180366/192562871591_Cover.jpg/600x600bb.jpg
Pop / R&B,BTS,I Need U,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/4c/97/6f/4c976f5c-5196-1221-8517-ddfcb0ba514c/8804775070341_Cover.jpg/600x600bb.jpg
Pop / R&B,BTS,Life Goes On,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/22/f3/8f/22f38fb9-1690-326a-d891-7aa946c2b06f/195497623273_Cover.jpg/600x600bb.jpg
Pop / R&B,BTS,Mikrokosmos,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/40/d4/93/40d493e3-ac9e-1746-8d4c-f380f27c97cb/193483706238_Cover.jpg/600x600bb.jpg
Pop / R&B,BTS,My Universe,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/0b/66/70/0b667065-6be7-3ac9-ce18-f1c66bcfa1b4/190296451997.jpg/600x600bb.jpg
Pop / R&B,BTS,Permission to Dance,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/66/28/6c/66286c9f-6bea-4f99-ec15-507b0c95dc04/196006991739_Cover.jpg/600x600bb.jpg
Pop / R&B,BTS,Pied Piper,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/34/a5/93/34a59372-3ebd-ae5f-269d-4c9506864d3f/8804775083280_Cover.jpg/600x600bb.jpg
Pop / R&B,BTS,Save Me,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/4c/97/6f/4c976f5c-5196-1221-8517-ddfcb0ba514c/8804775070341_Cover.jpg/600x600bb.jpg
Pop / R&B,BTS,Spring Day,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/ce/fb/eb/cefbebd4-d53b-8d6c-33cf-2ee55408bd79/8804775077494_Cover.jpg/600x600bb.jpg
Pop / R&B,Cason/Gayden,Everlasting Love,https://is1-ssl.mzstatic.com/image/thumb/Music3/v4/18/ee/48/18ee48f6-6a25-50bf-d88a-fa3918eabdb5/4260312210948_1448.jpg/600x600bb.jpg
Pop / R&B,Celine Dion,Alone,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/f8/22/71/f82271b5-febd-23c2-8028-040760dda6f8/mzi.actfimaz.jpg/600x600bb.jpg
